rep_name,rep_region,rep_subdistrict,partylist,link,name, party, votes, conf_date,district,region,subdistrict,party,subregion
"Abante, Bienvenido Jr. M.",Manila,6th District,,abante-b,"ABANTE, BIENVENIDO JR. MIRANDO",ASENSO,"49,795",14-May-2019,6th District,NATIONAL CAPITAL REGION,Manila,,
"Abaya, Francis Gerald Aguinaldo",Cavite,1st District,,abaya-fg,"ABAYA, FRANCIS GERALD AGUINALDO",LP,"117,031",16-May-2019,1st District,REGION IV-A,Cavite,,
"Abellanosa, Rodrigo A.",Cebu City,2nd District,,abellanosa-r,"ABELLANOSA, RODRIGO ABELLANA",LDP,"163,752",15-May-2019,2nd District,REGION VII,Cebu City,,
"Abu, Raneo ""Ranie"" E.",Batangas,2nd District,,abu-r,"ABU, RANEO ENRIQUEZ",NP,"117,205",16-May-2019,2nd District,REGION IV-A,Batangas,,
"Abueg-Zaldivar, Cyrille ""Beng"" F.",Palawan,2nd District,,abueg-zaldivar,"ABUEG, CYRILLE FABELLO",PPP,"112,960",17-May-2019,2nd District,REGION IV-B,Palawan,,
"Abunda, Maria Fe R.",Eastern Samar,Lone District,,abunda-f,"ABUNDA, MARIA FE ROMERICA",PDPLBN,"96,681",16-May-2019,Lone District,REGION VIII,Eastern Samar,,
"Acop, Resurreccion M.",Antipolo City,2nd District,,acop-r,"ACOP, RESURRECCION MARRERO",NUP,"127,695",16-May-2019,2nd District,REGION IV-A,Antipolo City,,
"Acosta, Gil ""Kabarangay Jr."" A.",Palawan,3rd District,,acosta-g,"ACOSTA, GIL JR. ABESAMIS",PPP,"72,850",17-May-2019,3rd District,REGION IV-B,Palawan,,
"Acosta-Alba, Maria Lourdes",Bukidnon,1st District,,acosta-alba,"ACOSTA-ALBA, MARIA LOURDES OLAIVAR",BPP,"119,883",18-May-2019,1st District,REGION X,Bukidnon,,
"Adiong, Ansaruddin Abdul Malik A.",Lanao del Sur,1st District,,adiong-a,"ADIONG, ANSARUDDIN ABDUL MALIK ALONTO",NP,"131,914",18-May-2019,1st District,BARMM,Lanao del Sur,,
"Advincula, Alex ""AA"" L.",Cavite,3rd District,,advincula-a,"ADVINCULA, ALEX LACSON",PDPLBN,"118,716",16-May-2019,3rd District,REGION IV-A,Cavite,,
"Agabas, Tyrone D.",Pangasinan,6th District,,agabas-t,"AGABAS, TYRONE DAMASEN",NPC,"203,454",16-May-2019,6th District,REGION I,Pangasinan,,
"Agarao, Benjamin Jr. C.",Laguna,4th District,,agarao-b,"AGARAO, JR., BENJAMIN CUETO",PDPLBN,"146,602",14-May-2019,4th District,REGION IV-A,Laguna,,
"Aglipay, Michael Edgar Y.",,,DIWA,aglipay-me,,,,,,,,,
