name, party, votes, conf_date
BARMM,,,
BASILAN,,,
LONE DISTRICT,,,
"HATAMAN, MUJIV SABBIHI",LP,"125,664",16-May-2019
LANAO DEL SUR,,,
1ST DISTRICT,,,
"ADIONG, ANSARUDDIN ABDUL MALIK ALONTO",NP,"131,914",18-May-2019
2ND DISTRICT,,,
"BALINDONG, YASSER ALONTO",LAKAS,"41,328",18-May-2019
MAGUINDANAO,,,
1ST DISTRICT,,,
"SINSUAT, DATU ROONIE SR. QUESADA",PDPLBN,"125,799",16-May-2019
2ND DISTRICT,,,
"MANGUDADATU, ESMAEL GAGUIL",PDPLBN,"127,223",16-May-2019
SULU,,,
1ST DISTRICT,,,
"TAN, SAMIER ABUBAKAR",PDPLBN,"92,958",17-May-2019
2ND DISTRICT,,,
"ARBISON, MUNIR MUNDOC",NP,"57,456",17-May-2019
TAWI-TAWI,,,
LONE DISTRICT,,,
"MATBA, RASHIDIN HALUN",NUP,"87,035",16-May-2019
CORDILLERA ADMINISTRATIVE REGION,,,
ABRA,,,
LONE DISTRICT,,,
"BERNOS, JOSEPH STO. NIÑO BLANDO",APP,"117,255",14-May-2019
APAYAO,,,
LONE DISTRICT,,,
"BULUT, ELIAS JR CAYABA",NPC,"45,630",14-May-2019
BENGUET,,,
LONE DISTRICT,,,
"FONGWAN, NESTOR BAGTANG",PDPLBN,"130,026",14-May-2019
BAGUIO CITY,,,
LONE DISTRICT,,,
"GO, MARQUEZ OCAMPO",NP,"58,603",14-May-2019
IFUGAO,,,
LONE DISTRICT,,,
"CHUNGALAO, SOLOMON RAMIREZ",NPC,"27,398",14-May-2019
KALINGA,,,
LONE DISTRICT,,,
"MANGAOANG, ALLEN JESSE",NP,"58,753",15-May-2019
CAPUYAN,,,
MOUNTAIN PROVINCE,,,
LONE DISTRICT,,,
"DALOG, MAXIMO JR YAWAN",NP,"25,701",14-May-2019
NATIONAL CAPITAL REGION,,,
NATIONAL CAPITAL REGION - FOURTH DISTRICT,,,
CITY OF LAS PIÑAS,,,
LONE DISTRICT,,,
"VILLAR, CAMILLE AGUILAR",NP,"173,917",13-May-2019
CITY OF MAKATI,,,
1ST DISTRICT,,,
"PEÑA, ROMULO, JR. VALDERAMA",LP,"71,035",14-May-2019
2ND DISTRICT,,,
"CAMPOS, LUIS JOSE ANGEL JR. NAKPIL",NPC,"90,736",14-May-2019
CITY OF MUNTINLUPA,,,
LONE DISTRICT,,,
"BIAZON, ROZZANO RUFINO BUNOAN",PDPLBN,"169,756",14-May-2019
CITY OF PARAÑAQUE,,,
1ST DISTRICT,,,
"OLIVAREZ, ERIC DE LEON",PDPLBN,"74,692",14-May-2019
2ND DISTRICT,,,
"TAMBUNTING, JOY MYRA SALVADOR",PDPLBN,"103,967",14-May-2019
PASAY CITY,,,
LONE DISTRICT,,,
"CALIXTO, ANTONINO GALLARDO",PDPLBN,"136,519",14-May-2019
TAGUIG CITY,,,
LONE DISTRICT,,,
"CAYETANO, MARIA LAARNI LOPEZ",NP,"113,727",14-May-2019
TAGUIG CITY-PATEROS,,,
LONE DISTRICT,,,
"CAYETANO, ALAN PETER SCHRAMM",NP,"91,993",14-May-2019
NATIONAL CAPITAL REGION - MANILA,,,
CITY OF MANILA,,,
1ST DISTRICT,,,
"LOPEZ, MANUEL LUIS TANTOCO",NPC,"86,993",14-May-2019
2ND DISTRICT,,,
"VALERIANO, ROLANDO MAYODATO",ASENSO,"34,861",14-May-2019
3RD DISTRICT,,,
"NIETO, JOHN MARVIN CRUZ",PDPLBN,"65,153",14-May-2019
4TH DISTRICT,,,
"MACEDA, EDWARD VERA PEREZ",PMP,"63,298",14-May-2019
5TH DISTRICT,,,
"BAGATSING, AMANDA CHRISTINA LAO",KABAKA,"65,836",14-May-2019
6TH DISTRICT,,,
"ABANTE, BIENVENIDO JR. MIRANDO",ASENSO,"49,795",14-May-2019
NATIONAL CAPITAL REGION - SECOND DISTRICT,,,
CITY OF MANDALUYONG,,,
LONE DISTRICT,,,
"GONZALES, NEPTALI II MEDINA",PDPLBN,"127,268",13-May-2019
CITY OF MARIKINA,,,
1ST DISTRICT,,,
"FERNANDO, BAYANI FLORES",NPC,"56,885",14-May-2019
2ND DISTRICT,,,
"QUIMBO, STELLA LUZ ALABASTRO",LP,"80,570",14-May-2019
CITY OF PASIG,,,
LONE DISTRICT,,,
"ROMULO, ROMAN TECSON",AKSYON,"225,217",14-May-2019
QUEZON CITY,,,
1ST DISTRICT,,,
"CRISOLOGO, ANTHONY PETER DARIO",PDPLBN,"74,033",14-May-2019
2ND DISTRICT,,,
"CASTELO, MARI GRACE PRECIOSA HIPOLITO",NPC,"109,515",14-May-2019
3RD DISTRICT,,,
"REYES, ALLAN BENEDICT SANTANA",PFP,"70,184",14-May-2019
4TH DISTRICT,,,
"SUNTAY, JESUS CABOCHAN",PDPLBN,"103,338",14-May-2019
5TH DISTRICT,,,
"VARGAS, ALFREDO PAOLO III DUMLAO",PDPLBN,"132,047",14-May-2019
6TH DISTRICT,,,
"BELMONTE, JOSE CHRISTOPHER YUVIENCO",LP,"94,673",14-May-2019
SAN JUAN CITY,,,
LONE DISTRICT,,,
"ZAMORA, RONALDO BAYAN",PDPLBN,"35,386",13-May-2019
NATIONAL CAPITAL REGION - THIRD DISTRICT,,,
CALOOCAN CITY,,,
1ST DISTRICT,,,
"MALAPITAN, DALE GONZALO RIGOR",PDPLBN,"284,256",14-May-2019
2ND DISTRICT,,,
"ERICE, EDGAR RANES",LP,"124,223",14-May-2019
CITY OF VALENZUELA,,,
1ST DISTRICT,,,
"GATCHALIAN, WESLIE TING",NPC,"119,991",14-May-2019
2ND DISTRICT,,,
"MARTINEZ, ERIC MORALES",PDPLBN,"106,848",14-May-2019
MALABON CITY,,,
LONE DISTRICT,,,
"LACSON-NOEL, JOSEPHINE VERONIQUE RESURRECCION",NPC,"86,001",14-May-2019
NAVOTAS CITY,,,
LONE DISTRICT,,,
"TIANGCO, JOHN REYNALD MARCELO",NVTEÑO,"80,774",14-May-2019
REGION I,,,
ILOCOS NORTE,,,
1ST DISTRICT,,,
"FARIÑAS, RIA CHRISTINA GERODIAS",PDPLBN,"106,780",14-May-2019
2ND DISTRICT,,,
"BARBA, EUGENIO ANGELO MARCOS",NP,"87,725",14-May-2019
ILOCOS SUR,,,
1ST DISTRICT,,,
"SAVELLANO, DEOGRACIAS VICTOR BARBERS",NP,"76,165",15-May-2019
2ND DISTRICT,,,
"MEEHAN, GRACE KRISTINE SINGSON",BILEG,"158,523",15-May-2019
LA UNION,,,
1ST DISTRICT,,,
"ORTEGA, PABLO CAMPOS",NPC,"145,723",14-May-2019
2ND DISTRICT,,,
"ERIGUEL, SANDRA YOUNG",PDPLBN,"120,901",15-May-2019
PANGASINAN,,,
1ST DISTRICT,,,
"CELESTE, ARNOLD DEL FIERRO",NP,"101,234",16-May-2019
2ND DISTRICT,,,
"ESPINO, JUMEL ANTHONY IGNACIO",PDPLBN,"129,734",16-May-2019
3RD DISTRICT,,,
"ARENAS, ROSE MARIE JIMENEZ",PDPLBN,"242,465",16-May-2019
4TH DISTRICT,,,
"DE VENECIA, CHRISTOPHER GEORGE MARTIN PEREZ",LAKAS,"166,917",16-May-2019
5TH DISTRICT,,,
