name, party, votes, conf_date,district,region,subdistrict
"HATAMAN, MUJIV SABBIHI",LP,"125,664",16-May-2019,Lone District,BARMM,Basilan
"ADIONG, ANSARUDDIN ABDUL MALIK ALONTO",NP,"131,914",18-May-2019,1st District,BARMM,Lanao del Sur
"BALINDONG, YASSER ALONTO",LAKAS,"41,328",18-May-2019,2nd District,BARMM,Lanao del Sur
"SINSUAT, DATU ROONIE SR. QUESADA",PDPLBN,"125,799",16-May-2019,1st District,BARMM,Maguindanao
"MANGUDADATU, ESMAEL GAGUIL",PDPLBN,"127,223",16-May-2019,2nd District,BARMM,Maguindanao
"TAN, SAMIER ABUBAKAR",PDPLBN,"92,958",17-May-2019,1st District,BARMM,Sulu
"ARBISON, MUNIR MUNDOC",NP,"57,456",17-May-2019,2nd District,BARMM,Sulu
"MATBA, RASHIDIN HALUN",NUP,"87,035",16-May-2019,Lone District,BARMM,Tawi-Tawi
"BERNOS, JOSEPH STO. NIÑO BLANDO",APP,"117,255",14-May-2019,Lone District,CORDILLERA ADMINISTRATIVE REGION,Abra
"BULUT, ELIAS JR CAYABA",NPC,"45,630",14-May-2019,Lone District,CORDILLERA ADMINISTRATIVE REGION,Apayao
"FONGWAN, NESTOR BAGTANG",PDPLBN,"130,026",14-May-2019,Lone District,CORDILLERA ADMINISTRATIVE REGION,Benguet
"GO, MARQUEZ OCAMPO",NP,"58,603",14-May-2019,Lone District,CORDILLERA ADMINISTRATIVE REGION,Baguio City
"CHUNGALAO, SOLOMON RAMIREZ",NPC,"27,398",14-May-2019,Lone District,CORDILLERA ADMINISTRATIVE REGION,Ifugao
"MANGAOANG, ALLEN JESSE",NP,"58,753",15-May-2019,Lone District,CORDILLERA ADMINISTRATIVE REGION,Kalinga
"DALOG, MAXIMO JR YAWAN",NP,"25,701",14-May-2019,Lone District,CORDILLERA ADMINISTRATIVE REGION,Mountain Province
"VILLAR, CAMILLE AGUILAR",NP,"173,917",13-May-2019,Lone District,NATIONAL CAPITAL REGION,Las Piñas City
"PEÑA, ROMULO, JR. VALDERAMA",LP,"71,035",14-May-2019,1st District,NATIONAL CAPITAL REGION,Makati City
