rep_name,rep_region,rep_subdistrict,partylist,link
"Abante, Bienvenido Jr. M.",Manila,6th District,N/A,abante-b
"Abaya, Francis Gerald Aguinaldo",Cavite,1st District,N/A,abaya-fg
"Abellanosa, Rodrigo A.",Cebu City,2nd District,N/A,abellanosa-r
"Abu, Raneo ""Ranie"" E.",Batangas,2nd District,N/A,abu-r
"Abueg-Zaldivar, Cyrille ""Beng"" F.",Palawan,2nd District,N/A,abueg-zaldivar
"Abunda, Maria Fe R.",Eastern Samar,Lone District,N/A,abunda-f
"Acop, Resurreccion M.",Antipolo City,2nd District,N/A,acop-r
"Acosta, Gil ""Kabarangay Jr."" A.",Palawan,3rd District,N/A,acosta-g
"Acosta-Alba, Maria Lourdes",Bukidnon,1st District,N/A,acosta-alba
"Adiong, Ansaruddin Abdul Malik A.",Lanao del Sur,1st District,N/A,adiong-a
"Advincula, Alex ""AA"" L.",Cavite,3rd District,N/A,advincula-a
"Agabas, Tyrone D.",Pangasinan,6th District,N/A,agabas-t
"Agarao, Benjamin Jr. C.",Laguna,4th District,N/A,agarao-b
"Aglipay, Michael Edgar Y.",N/A,N/A,DIWA,aglipay-me
"Aguinaldo, Naealla Bainto",N/A,N/A,BAHAY,bainto-aguinaldo
"Albano, Antonio ""Tonypet"" T.",Isabela,1st District,N/A,albano-a
"Albano, Rodolfo B.",N/A,N/A,GMA,albano-r
"Alfonso, Samantha Louise Vargas",Cagayan,2nd District,N/A,alfonso-sl
"Almario, Joel Mayo Z.",Davao Oriental,2nd District,N/A,almario-j
"Alonte, Marlyn ""Len"" B.",Biñan City,Lone District,N/A,alonte-m
"Alvarez, Franz ""Chicoy"" E.",Palawan,1st District,N/A,alvarez-fj
"Alvarez, Genaro Jr. M.",Negros Occidental,6th District,N/A,alvarez-g
"Alvarez, Pantaleon D.",Davao del Norte,1st District,N/A,alvarez-p
"Amante-Matba, Ma. Angelica M.",Agusan del Norte,2nd District,N/A,amante-matba
"Amatong, Isagani S.",Zamboanga del Norte,3rd District,N/A,amatong-i
"Andaya, Marissa",Camarines Sur,1st District,N/A,andaya-m
"Angara, Rommel Rico T.",Aurora,Lone District,N/A,angara-rr
"Aragones, Sol",Laguna,3rd District,N/A,aragones-s
"Arbison, Munir M.",Sulu,2nd District,N/A,arbison-m
"Arenas, Rose Marie ""Baby"" J.",Pangasinan,3rd District,N/A,arenas-r
"Arroyo, Ma. Lourdes T.",Negros Occidental,5th District,N/A,arroyo-l
"Atienza, Jose Jr. L.",N/A,N/A,BUHAY,atienza-j
"Aumentado, Erico Aristotle C.",Bohol,2nd District,N/A,aumentado-ea
"Bañas-Nograles, Shirlyn L.",South Cotabato,1st District,N/A,banas
"Babasa, Leonardo Jr. L.",Zamboanga del Sur,2nd District,N/A,babasa-l
"Bagatsing, Cristal L.",Manila,5th District,N/A,bagatsing-c
"Balindong, Yasser Alonto",Lanao del Sur,2nd District,N/A,balindong-y
"Barba, Angelo Marcos",Ilocos Norte,2nd District,N/A,barba-ea
"Barbers, Robert Ace S.",Surigao del Norte,2nd District,N/A,barbers-a
"Baronda, Julienne ""Jam"" L.",Iloilo City,Lone District,N/A,baronda-j
"Barzaga, Elpidio Jr. F.",Cavite,4th District,N/A,barzaga-e
"Bascug, Alfel M.",Agusan del Sur,1st District,N/A,bascug-a
