,0
party_an waray,22.900045144589768
national health,22.880869928276432
act strengthening,22.838235414060897
cebu known,22.728858142533667
located barangay,22.705562773707506
bypass road,22.67242630744338
act establishing,22.56776950266296
del pilar,22.559226836167223
sto domingo,22.55616363456552
act expanding,22.549051946128415
act 2009,22.499302082713722
baguio city,22.490773923541308
act requiring,22.48536334684896
falls located,22.461240444025176
san juan,22.44428592737097
act providing,22.43806758639526
quezon province,22.425105366535544
ref_banks_and_financial_intermediaries,22.408403265567475
party_bh,22.405972427300135
party_cibac,22.40319902075285
act mandating,22.399270613732845
barangay indahag,22.397025902522486
establishing purpose,22.38331807900664
department agriculture,22.341809606964972
national highway,22.33929372132373
zone providing,22.30012540746257
commercial purposes,22.29667715278542
province masbate,22.29664510718123
davao city,22.29100051498461
conservation protection,22.290659935122157
ref_poverty_alleviation,22.286311089174767
parking fees,22.28532137707761
regulatory framework,22.280227357154345
san vicente,22.264093978673678
act institutionalizing,22.262990661887237
act creating,22.23868073166428
motor vehicle,22.204533286939025
center city,22.199242376395638
amending ra,22.186909065077913
act defining,22.16183056290445
act 2004,22.138539148861632
carta barangay,22.131672787104126
assistance program,22.118853008850195
northern mindanao,22.11873470956389
public elementary,22.106609719881547
increasing penalties,22.106136441480515
san antonio,22.05993696788007
act regulating,22.053291596098596
province bukidnon,22.04469511705954
protection security,22.028300051230055
government agencies,22.01501269587329
philippines repealing,22.010323480855284
national center,22.004620293968234
insurance corporation,22.00062934931091
philippines creating,21.974954740141303
office province,21.96506658627998
act prohibiting,21.947734824217317
metropolitan manila,21.947366585580596
valueadded tax,21.94276100979179
act granting,21.94021566749978
national program,21.906303617336462
act instituting,21.88843045082759
road municipality,21.872749630528663
regulatory board,21.868934879730457
act transferring,21.868812158288712
province samar,21.86215913173152
rural health,21.860061608580928
act 1991,21.85250248742008
philippine health,21.85190396911647
similar establishments,21.849775881795725
act classifying,21.842712557481505
office municipality,21.83855748754852
capital philippines,21.825639050460723
television radio,21.81345455209654
human rights,21.80966504997557
province sulu,21.802409772322676
ilocos sur appropriating,21.7971085596204
city province,21.796792896202888
located city,21.76839000465321
memorial medical,21.76519567233857
entire country,21.761877296055008
schools division,21.752668583731605
known cagayan,21.743467554661432
act 1998,21.73806020408393
november year,21.73760722082254
program department,21.736135655396655
training center,21.722798634109203
located municipality,21.70361181776135
province benguet,21.696183406542577
act 2003,21.684041254501423
party_duterte youth,21.67997900113728
ref_veterans_affairs_and_welfare,21.677102379197628
members sangguniang,21.67540306519855
protection children,21.6743055118242
province pangasinan,21.665662842600643
100 beds,21.652587804608455
ref_disaster_resilience,21.644182732820674
motor vehicles,21.63948500566117
party_ako bicol,21.6168342860106
act renaming,21.615682728176047
province bataan,21.6084545490315
ref_defeat_covid-19_ad-hoc_committee,21.6076157175253
city bacolod,21.59387270162594
residential commercial,21.592651881304988
public hospitals,21.592485894130533
act authorizing,21.59150667660202
known ꞌthe,21.58985700867413
puerto princesa,21.580869564128918
teacher education,21.577746205575146
code philippines purposes,21.573076695468785
ref_cooperatives_development,21.572416056079064
san isidro,21.567982100012244
city municipal,21.556860453739915
ref_public_information,21.55618727100061
province isabela,21.554115933665017
higher education,21.548735117624588
cebu city,21.54733977886556
primary secondary,21.541777311653796
ref_muslim_affairs,21.53977125824116
center known,21.537965705606148
province_malabon_city,21.5315382895435
ref_rules,21.523905391813166
benefits privileges,21.514970665407365
research development,21.51336405452887
province aklan,21.50743361869882
sultan kudarat,21.502675484211146
mindanao state,21.502133885681708
sports academy,21.497903291760927
center province,21.48969344114242
province batangas,21.485533825983904
research institute,21.480333897692066
heinous crimes,21.476139168024222
philippines prescribing,21.475597397559735
bamboo industry,21.46673282090002
ref_climate_change,21.46344886661317
act philippines,21.462116565506477
agriculture fisheries,21.46030256930744
circumferential road,21.459728487618012
araw ng,21.457922052022596
province zambales,21.45553985602853
indigenous peoples,21.455244651855054
party_ram,21.45180237967027
party_magdalo,21.451216073173697
education program,21.449105359575547
philippines purposes,21.44638669394959
commission elections,21.44303007789063
act 1994,21.438116479892464
insurance coverage,21.43578031474373
benefits amending,21.43476835115114
center located,21.42866623347756
benefits incentives,21.427390063133075
act promoting,21.412124550279366
special education,21.411910048090384
known philippine,21.40803638660294
act designating,21.40053518438316
province laguna,21.3956183510881
road connecting,21.37390756656326
public schools,21.373036630174752
regional hospital,21.36837294398574
act establish,21.360482093006976
act strengthen,21.35834240651333
ref_trade_and_industry,21.355743000346106
office city,21.347867876228932
entitled act creating,21.345553090236137
province cavite,21.34054940022823
hospital city,21.337696245010115
providing funds thereof,21.332683432343323
city general,21.325457262494126
act 2013,21.317229060855613
