,0
road network,4.013969857279738
ref_visayas_development,3.4305969625965314
pandemic purposes,3.1435466153511196
ref_west_philippine_sea,3.0320706480521107
national policy,2.4994240937210206
government finance,2.4345941950805874
local government finance,2.4345941950805847
second legislative district,2.3734301164204084
amended providing,2.2661542395648464
workers defining,2.2424678706342895
health insurance,2.240295026222535
ref_flagship_programs_and_projects,2.225848996221036
second legislative,2.2242063169938167
act making,2.1277096399602127
act renaming,1.909948660514848
national commission,1.896844519941159
amended entitled,1.8940022067089257
ref_public_accounts,1.892628261402763
polytechnic university,1.8817542322182625
mandating use,1.8754468892345244
education training,1.8464475581254316
known san,1.8231157663645847
act provide,1.7950014486780737
ref_constitutional_amendments,1.7794231099046793
civil code philippines,1.7508119207855208
party_cibac,1.731517653318403
northern mindanao,1.7189157698509372
barangay indahag,1.712490700016442
service providers,1.6852311487662317
residential commercial,1.6718929399112725
high school annex,1.6673674121742024
datu danwata,1.6623368305918085
providing barangay,1.6241819134125572
act providing barangay,1.6241819134125541
province samar,1.6139306703038132
cities municipalities,1.6084515809325841
province pampanga,1.588607856543147
school annex,1.5730277193568774
land use,1.5541519761643925
entitled act providing,1.5514972282534991
known comprehensive,1.5456651162837354
act establishing campus,1.5422523019378604
establishing campus,1.542252301937858
informal settler,1.5316021519102683
informal settler families,1.5316021519102674
settler families,1.5316021519102663
minimum salary grade,1.5144557307461415
ref_banks_and_financial_intermediaries,1.5054467252061123
development act,1.4740786495817964
use singleuse,1.470225192552447
workers purposes,1.459749415957917
party_kabaka,1.4580253608561078
students appropriating funds therefor,1.44075541277004
students appropriating funds,1.440755412770039
students appropriating,1.4407554127700388
regional hospital,1.4360545079225941
determining community forest barangay,1.418212750740019
forest barangay,1.418212750740018
community forest barangay,1.4182127507400168
coconut levy,1.4050227590060282
levy assets,1.405022759006027
coconut levy assets,1.4050227590060262
act 10952 purposes,1.3983612114547177
republic act 10952 purposes,1.3983612114547164
act mandating appointment,1.396836789598068
mandating appointment,1.3968367895980656
nueva ecija,1.3712026038781122
university philippines,1.3684763560515063
employees government,1.351528171985123
7883 known barangay,1.3480030816339101
known barangay health,1.348003081633909
7883 known barangay health,1.3480030816339084
philippine health,1.3375355741150243
province bataan,1.312258587008642
act declaring,1.304969259456479
rural health,1.3037838035301785
act changing,1.2978145526176714
install maintain,1.2835994174344525
act 4136,1.278899032666374
republic act 4136,1.2788990326663732
act mandating,1.2480130202609165
requiring registration,1.241886712550425
act requiring registration,1.2418867125504218
republic act 9136,1.2357444081595972
act 9136,1.2357444081595963
postponing 2020 barangay sangguniang,1.2160833216050921
act postponing 2020 barangay,1.216083321605092
postponing 2020 barangay,1.2160833216050917
entitled ꞌan act,1.2056052409291076
section 13,1.202189999323552
grade 15,1.1990832944600784
protection security,1.1990644067156897
act 1998,1.1941891093720205
act enhancing,1.189797557509703
stations philippines,1.1879094958470386
center province,1.1817475090378269
ꞌan act,1.175960215359384
entitled ꞌan,1.1718081843420785
davao oriental,1.168464401501451
senior citizen,1.1645075728212237
civil code,1.1566668541076492
valueadded tax,1.154677373703929
increasing penalties,1.150529310262818
act imposing,1.1407094936484408
identity expression,1.139886307363184
orientation gender identity expression,1.139886307363184
gender identity expression,1.1398863073631835
component city,1.1393237498227364
quezon city,1.1367442139320456
public hospitals,1.136258625201804
party_apec,1.1027847571669522
province_albay,1.0991942109430095
act 2009,1.0986417008538787
province_sultan_kudarat,1.093799422281679
maintain operate,1.0891382912502512
state university known,1.077483876476634
insurance corporation,1.075810034535039
act institutionalizing national,1.0751700472680048
party_manila teachers,1.073171033131258
fish port,1.0719092943510147
compostela valley,1.0705183864708585
institutionalizing national,1.0656055660220118
identity module,1.0623082495635692
party_kabataan,1.0599627078987124
known national internal revenue,1.0592373375656634
known national internal,1.0592373375656625
act designating,1.0561473376688388
years amending,1.0509274792640388
establish operate maintain,1.0486463416801848
creating national,1.0478016540255832
province aklan,1.0335557764267045
install maintain operate,1.0303556967946423
san roque,1.0297468061965123
known cagayan,1.0243708755592982
university known,1.0222934791435472
sto domingo,1.0168542126609097
party_tgp,1.0163003177154315
dangerous drugs,1.0103008439035064
radio broadcasting stations philippines,1.0100862013800085
amending section 13,1.004965053689028
care providing,1.004839357983155
province_samar,1.001477260117602
12 public private,1.0007211556101054
12 public,1.0007211556101028
school barangay san,1.0003537439924992
cagayan oro city known,0.9996189207179308
oro city known,0.9996189207179302
province davao,0.9874425087868826
interior local,0.9870965654229372
interior local government,0.9870965654229371
thereof purposes,0.9799750710437269
located barangay,0.9774720686835229
witness protection security benefit,0.977453545132798
security benefit,0.9774535451327979
protection security benefit,0.9774535451327978
witness protection,0.9774535451327977
witness protection security,0.9774535451327976
telecommunications systems,0.9757831349993149
identity expression sogie,0.9745826127884551
gender identity expression sogie,0.9745826127884544
act 1991,0.974184059888589
act adjusting,0.9731287208561781
sto tomas,0.9728181485298726
quezon appropriating funds,0.9715631887363008
quezon appropriating,0.9715631887363001
quezon appropriating funds therefor,0.9715631887363001
amended ra,0.9710886913044043
act postponing 2020,0.9693335364125134
postponing 2020,0.9693335364125115
workers defining powers functions,0.965429009955038
workers defining powers,0.9654290099550373
providing mechanisms,0.9554129802831218
delivery systems,0.9534668249166904
party_abang lingkod,0.9506204256958294
philippine coast,0.9436153272592521
philippine coast guard,0.9436153272592521
establishing network,0.9435040794470395
amending articles,0.9386319189982192
sur known,0.9361913562631963
municipality sta,0.9332277631449171
act requiring,0.9326591427250357
implementation republic,0.926962599743678
implementation republic act,0.9269625997436779
municipality rizal,0.9254837898760848
health services,0.9240780068900766
establish operate,0.9208056814656587
act 1992,0.9156397648995491
act amending articles,0.9144806166260205
campus appropriating,0.9049986592739147
ref_reforestation,0.9046409453047639
san miguel,0.9025348048826299
act 9165,0.8996393512191404
province cebu,0.8990857756697523
gender identity,0.8985468810339488
establishment operation,0.8943972194595619
social pension,0.8941791385634483
government act,0.891312120495942
interior local government act,0.8913121204959413
local government act,0.8913121204959409
establishing department,0.891240803594304
act establishing department,0.8912408035943011
barangay san,0.8895749256693651
welfare act,0.8878670235369173
bohol appropriating funds therefor,0.8861122606196807
bohol appropriating funds,0.8861122606196803
bohol appropriating,0.8861122606196781
province quezon appropriating,0.8855834088964935
province quezon appropriating funds,0.8855834088964921
international airport,0.881986413373244
national integrated protected,0.8747675367770039
integrated protected,0.8747675367770021
act 2018,0.8728756079086385
7883 known,0.8708501185326534
hospitals country providing funds,0.8647937529800491
hospitals country providing,0.8647937529800489
hospitals country,0.8647937529800478
tourism destination providing development,0.8613290822375332
tourism destination providing,0.861329082237533
act defining penalizing,0.8600731989827449
optional retirement,0.8568023169706018
act establishing network,0.8555386064878759
state college,0.8544664953950697
act 1997,0.8522969678981395
zone providing,0.8500684321419525
party_htl,0.8483441283318894
province nueva ecija,0.8479081265701368
instituting reforms,0.8475972100075377
act instituting reforms,0.8475972100075366
act 386,0.8469306582160554
republic act 386,0.8469306582160516
bulacan known,0.8452453991067633
province bulacan known,0.8452453991067632
commonwealth act,0.8427589620776796
occidental appropriating funds,0.8419191759695686
occidental appropriating,0.8419191759695684
act encouraging,0.8406823584327568
republic act 9165,0.835581205057943
providing benefits,0.8332473667524241
province benguet,0.8314221475854278
provincial hospital,0.8288436454091335
act promoting,0.8277652943352218
national athletes,0.8273445395846626
defining powers functions purposes,0.8261617121985299
act providing security tenure,0.8188224354815713
act providing security,0.8188224354815709
